EHC;Ecoliers C;;;H;2016;2022;2016;2019;True;False;1 km;
EFC;Ecolières C;;;D;2016;2022;2016;2019;True;False;1 km;
EHB;Ecoliers B;;;H;2014;2015;;;True;False;1 km;
EFB;Ecolières B;;;D;2014;2015;;;True;False;1 km;
